filename|text|speaker
alba/1728.wav|I accept that referees have been instructed to take a harder line.|alba
alba/1_397.wav|We have added new players.|alba
alba/3697.wav|Today we gave the ball away too quickly and too easily.|alba
alba/2_316.wav|He is one of them.|alba
alba/2_218.wav|Naturally, we are in Glasgow.|alba
alba/3418.wav|The people of Scotland have waited long enough for their Parliament, and we will go on doing everything we can to deliver it as soon as possible.|alba
alba/2198.wav|It makes a huge difference to me and my family.|alba
alba/3492.wav|I played for two years with Henrik in Rotterdam.|alba
alba/216.wav|I am the fastest player on the course.|alba
alba/3486.wav|His remit is extensive.|alba
alba/173.wav|But the relief was short-lived.|alba
alba/861.wav|We ought to be thankful to both of them.|alba
alba/3343.wav|We are aware of the proposed development although at this stage we have not received a planning application.|alba
alba/377.wav|You have to evaluate what happened.|alba
alba/1_048.wav|How to run the national health?|alba
alba/2_108.wav|He was nothing.|alba
alba/3877.wav|Henry has our full support.|alba
alba/468.wav|We will continue with that for the time being.|alba
alba/1930.wav|It is the proudest moment of my life.|alba
alba/3949.wav|That is absolutely clear to me having spoken to a number of farmers on this very point.|alba
alba/2_294.wav|These are the official figures.|alba
alba/2147.wav|We would be prepared to play a weaker Canada side.|alba
alba/3255.wav|I never do in the early part of the year.|alba
alba/3902.wav|We knew we had to win our last two games to go up as champions.|alba
alba/1884.wav|Now we have to talk to him.|alba
alba/1153.wav|The characters are always the first attraction.|alba
alba/491.wav|Not even the stadium announcer thought he had won.|alba
alba/1564.wav|Other cost-cutting measures are being introduced in the fight to make a profit.|alba
alba/1852.wav|He will hopefully lead us to great things.|alba
alba/2_140.wav|He is their reason for being.|alba
alba/3149.wav|We just have to improve.|alba
alba/2851.wav|Either system could have prevented the crash.|alba
alba/1968.wav|Here we are severely restricted by legislation.|alba
alba/1886.wav|The man is a phenomenon.|alba
alba/2898.wav|But Scottish agriculture is in trouble.|alba
alba/868.wav|One which, ultimately, they won.|alba
alba/2_147.wav|He is suspended for that game.|alba
alba/3599.wav|I can't believe it.|alba
alba/1523.wav|It can involve a flight and six-hour drive.|alba
